Index,Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
19,16-01-2009,2009,Bridgeport,93521,202500,Single Family,Detached House,3,2,952,1.025953,East
20,16-01-2009,2009,Norwalk,212240,437000,Single Family,Detached House,3,3,967,1.025953,West
21,17-01-2009,2009,Bridgeport,115290,289900,Single Family,Detached House,3,1,963,1.025953,South
22,18-01-2009,2009,Bridgeport,128381,330000,Single Family,Detached House,3,3,959,1.025953,North
23,18-01-2009,2009,Greenwich,875700,1372500,Single Family,Detached House,3,1,1079,1.025953,East
24,18-01-2009,2009,Greenwich,1452500,2000000,?,Detached House,3,2,973,1.025953,North
25,22-01-2009,2009,Waterbury,53200,289000,Single Family,Detached House,3,3,999,1.025953,North
26,22-01-2009,2009,Bridgeport,417904,232677,Three Family,Triplex,6,5,1819,1.025953,West
27,23-01-2009,2009,Bridgeport,105560,224500,Single Family,Detached House,3,1,1062,1.025953,East
28,23-01-2009,2009,Fairfield,545860,720000,Single Family,Detached House,3,2,1056,1.025953,East
29,23-01-2009,2009,Norwalk,198310,422000,Single Family,Detached House,3,1,954,1.025953,East
30,24-01-2009,2009,Norwalk,423850,740000,?,Detached House,3,2,1080,1.025953,West
31,24-01-2009,2009,Greenwich,1152270,1750000,Single Family,Detached House,3,3,1040,1.025953,South
32,24-01-2009,2009,Waterbury,60270,154000,Single Family,Detached House,3,2,1030,1.025953,East
33,26-01-2009,2009,Fairfield,451500,1000000,Single Family,Detached House,3,1,1064,1.025953,South
34,26-01-2009,2009,Bridgeport,117670,249900,Single Family,Detached House,3,3,931,1.025953,North
35,29-01-2009,2009,Norwalk,350000,1600000,Single Family,Detached House,3,2,904,1.025953,East
36,29-01-2009,2009,Fairfield,352380,400000,?,Detached House,3,2,955,1.025953,South
37,30-01-2009,2009,Waterbury,59010,129900,Single Family,Detached House,3,1,1046,1.025953,South
38,30-01-2009,2009,Norwalk,1954890,2700000,Single Family,Detached House,3,3,1034,1.025953,South
39,30-01-2009,2009,Norwalk,412440,712500,?,Detached House,3,3,1041,1.025953,East
40,31-01-2009,2009,Greenwich,6246170,8500000,Single Family,Detached House,3,1,1080,1.025953,South
41,31-01-2009,2009,Waterbury,62650,101555,?,Detached House,3,3,936,1.025953,South
42,31-01-2009,2009,Waterbury,88480,220000,Single Family,Detached House,3,1,1057,1.025953,East
43,31-01-2009,2009,Fairfield,425180,565000,?,Detached House,3,1,928,1.025953,West
44,31-01-2009,2009,Fairfield,243740,340000,Single Family,Detached House,3,1,906,1.025953,West
45,01-02-2009,2009,Waterbury,67270,200000,Two Family,Duplex,4,4,1300,1.025953,South
46,01-02-2009,2009,Bridgeport,85540,230000,Single Family,Detached House,3,3,1016,1.025953,North
47,01-02-2009,2009,Bridgeport,83161,190000,Single Family,Detached House,3,3,900,1.025953,South
48,01-02-2009,2009,Fairfield,717010,820000,?,Detached House,3,2,958,1.025953,North
49,01-02-2009,2009,Greenwich,628460,800000,Single Family,Detached House,3,3,1025,1.025953,East
50,02-02-2009,2009,Greenwich,651630,770000,Single Family,Detached House,3,2,1029,1.025953,East
51,05-02-2009,2009,Bridgeport,133070,290000,Single Family,Detached House,3,3,1023,1.025953,East
52,05-02-2009,2009,Waterbury,67200,184900,Three Family,Triplex,6,4,1821,1.025953,East
53,05-02-2009,2009,Waterbury,96250,215000,?,Detached House,3,2,1095,1.025953,West
54,05-02-2009,2009,Fairfield,1334270,490500,?,Detached House,3,2,929,1.025953,East
55,05-02-2009,2009,Waterbury,78680,175000,Three Family,Triplex,6,4,2062,1.025953,West
56,08-02-2009,2009,Bridgeport,174231,363000,Four Family,Fourplex,8,6,2935,1.025953,South
57,08-02-2009,2009,Fairfield,457380,750000,?,Detached House,3,3,995,1.025953,South
58,12-02-2009,2009,Greenwich,2828910,4450000,Single Family,Detached House,3,2,920,1.025953,East
59,12-02-2009,2009,Norwalk,206010,320000,Single Family,Detached House,3,1,913,1.025953,South
60,13-02-2009,2009,Bridgeport,148121,248000,?,Detached House,3,1,1043,1.025953,West
61,15-02-2009,2009,Bridgeport,73220,299900,Three Family,Triplex,6,4,2142,1.025953,West
62,15-02-2009,2009,Greenwich,1849120,3500000,Single Family,Detached House,3,2,928,1.025953,North
63,15-02-2009,2009,Bridgeport,117601,230000,Single Family,Detached House,3,2,1016,1.025953,South
64,16-02-2009,2009,Waterbury,70140,110000,Single Family,Detached House,3,2,909,1.025953,South
65,16-02-2009,2009,Bridgeport,110390,250000,Single Family,Detached House,3,1,904,1.025953,West
66,16-02-2009,2009,Bridgeport,168000,399900,?,Triplex,6,4,1876,1.025953,South
67,16-02-2009,2009,Waterbury,77070,177000,Single Family,Detached House,3,1,975,1.025953,West
68,20-02-2009,2009,Bridgeport,61228,7000,Single Family,Detached House,3,1,1058,1.025953,East
69,20-02-2009,2009,Waterbury,57820,135000,Single Family,Detached House,3,2,909,1.025953,North
70,20-02-2009,2009,Waterbury,63010,100000,?,Detached House,3,2,952,1.025953,South
71,21-02-2009,2009,Greenwich,653450,1250000,Single Family,Detached House,3,2,932,1.025953,South
72,21-02-2009,2009,Waterbury,47050,96400,Single Family,Detached House,3,1,913,1.025953,West
73,22-02-2009,2009,Greenwich,2844800,5625000,?,Detached House,3,2,1067,1.025953,West
74,22-02-2009,2009,Bridgeport,56000,240000,Single Family,Detached House,3,2,959,1.025953,South
75,22-02-2009,2009,Waterbury,91210,212300,?,Triplex,6,6,1928,1.025953,South
76,23-02-2009,2009,Norwalk,649530,1049000,?,Detached House,3,2,1100,1.025953,West
77,23-02-2009,2009,Waterbury,52510,121500,Two Family,Duplex,4,4,1487,1.025953,West
78,26-02-2009,2009,Fairfield,221060,300000,Single Family,Detached House,3,3,1009,1.025953,North
79,27-02-2009,2009,Waterbury,59010,230000,Three Family,Triplex,6,5,2041,1.025953,North
80,28-02-2009,2009,Greenwich,608720,826000,Two Family,Duplex,4,4,1365,1.025953,South
81,01-03-2009,2009,Greenwich,1400910,1900000,Single Family,Detached House,3,2,960,1.025953,West
82,01-03-2009,2009,Norwalk,264040,569900,Single Family,Detached House,3,1,1027,1.025953,West
83,01-03-2009,2009,Greenwich,2098950,3000000,Single Family,Detached House,3,1,939,1.025953,West
84,01-03-2009,2009,Waterbury,55300,48521,Single Family,Detached House,3,1,1061,1.025953,North
85,01-03-2009,2009,Fairfield,828030,1425000,Single Family,Detached House,3,3,1024,1.025953,South
86,05-03-2009,2009,Bridgeport,96600,183000,Two Family,Duplex,4,3,1426,1.025953,East
87,05-03-2009,2009,Waterbury,92120,223000,Single Family,Detached House,3,3,937,1.025953,West
88,05-03-2009,2009,Waterbury,55510,130000,Three Family,Triplex,6,5,2003,1.025953,North
89,07-03-2009,2009,Bridgeport,126070,271000,Single Family,Detached House,3,1,1052,1.025953,West
90,08-03-2009,2009,Bridgeport,120121,278100,?,Detached House,3,1,1037,1.025953,East
91,08-03-2009,2009,Greenwich,1690010,1700000,?,Detached House,3,2,1037,1.025953,South
92,13-03-2009,2009,Bridgeport,117110,267500,Single Family,Detached House,3,2,948,1.025953,South
93,13-03-2009,2009,Fairfield,747250,1160000,Single Family,Detached House,3,1,1024,1.025953,South
94,14-03-2009,2009,Fairfield,4102560,7850000,Single Family,Detached House,3,2,964,1.025953,North
95,14-03-2009,2009,Bridgeport,115360,233000,Two Family,Duplex,4,2,1454,1.025953,North
96,14-03-2009,2009,Waterbury,46980,159000,Two Family,Duplex,4,4,1226,1.025953,East
97,15-03-2009,2009,Greenwich,1214570,2200000,Single Family,Detached House,3,1,908,1.025953,East
98,15-03-2009,2009,Norwalk,248788,490000,Single Family,Detached House,3,1,940,1.025953,West
99,15-03-2009,2009,Bridgeport,166014,395000,Three Family,Triplex,6,4,2184,1.025953,East
100,19-03-2009,2009,Norwalk,197400,340000,Single Family,Detached House,3,2,1025,1.025953,East
101,19-03-2009,2009,Waterbury,55860,148847,Two Family,Duplex,4,2,1339,1.025953,East
102,19-03-2009,2009,Bridgeport,172270,285000,?,Triplex,6,6,2117,1.025953,East
103,19-03-2009,2009,Waterbury,72310,157000,Single Family,Detached House,3,3,936,1.025953,West
104,19-03-2009,2009,Fairfield,361620,525000,Single Family,Detached House,3,1,1048,1.025953,West
105,20-03-2009,2009,Fairfield,513240,867500,Single Family,Detached House,3,2,1089,1.025953,North
106,20-03-2009,2009,Bridgeport,126630,269000,Single Family,Detached House,3,1,1053,1.025953,East
107,21-03-2009,2009,Norwalk,248150,570000,Single Family,Detached House,3,2,1078,1.025953,West
108,21-03-2009,2009,Fairfield,355320,435000,Single Family,Detached House,3,3,1095,1.025953,West
109,21-03-2009,2009,Greenwich,1285480,2150000,Single Family,Detached House,3,2,1021,1.025953,West
110,22-03-2009,2009,Norwalk,219100,427000,Single Family,Detached House,3,3,1021,1.025953,West
111,23-03-2009,2009,Norwalk,382900,777500,Single Family,Detached House,3,2,900,1.025953,East
112,27-03-2009,2009,Norwalk,286090,520000,?,Detached House,3,1,1058,1.025953,East
113,28-03-2009,2009,Fairfield,377650,450000,?,Detached House,3,3,1100,1.025953,West
114,28-03-2009,2009,Fairfield,541030,750000,?,Detached House,3,3,1079,1.025953,North
115,28-03-2009,2009,Bridgeport,109130,235000,Single Family,Detached House,3,3,985,1.025953,South
116,29-03-2009,2009,Bridgeport,72380,249900,Two Family,Duplex,4,4,1347,1.025953,South
117,30-03-2009,2009,Norwalk,262500,412000,Single Family,Detached House,3,3,1064,1.025953,South
118,30-03-2009,2009,Greenwich,8028860,8236500,Single Family,Detached House,3,1,1055,1.025953,North
119,30-03-2009,2009,Fairfield,342930,820000,Single Family,Detached House,3,2,924,1.025953,East
120,30-03-2009,2009,Waterbury,16660,15000,Three Family,Triplex,6,4,1978,1.025953,South
121,30-03-2009,2009,Bridgeport,155960,355000,Three Family,Triplex,6,5,2146,1.025953,South
122,30-03-2009,2009,Bridgeport,126420,177500,Single Family,Detached House,3,3,931,1.025953,North
123,30-03-2009,2009,Waterbury,99260,295000,Four Family,Fourplex,8,6,2983,1.025953,North
124,30-03-2009,2009,Bridgeport,112910,299750,Single Family,Detached House,3,3,919,1.025953,West
125,02-04-2009,2009,Waterbury,62930,196000,Three Family,Triplex,6,5,1953,1.025953,South
126,02-04-2009,2009,Norwalk,224770,430000,Single Family,Detached House,3,2,1091,1.025953,East
127,02-04-2009,2009,Waterbury,104160,269900,?,Duplex,4,4,1349,1.025953,West
128,03-04-2009,2009,Norwalk,255710,462000,?,Detached House,3,1,1022,1.025953,West
129,03-04-2009,2009,Bridgeport,125370,270000,Single Family,Detached House,3,1,982,1.025953,West
130,03-04-2009,2009,Waterbury,226660,320000,Single Family,Detached House,3,2,1061,1.025953,East
131,03-04-2009,2009,Fairfield,387170,515000,Single Family,Detached House,3,3,1093,1.025953,West
132,03-04-2009,2009,Norwalk,218330,407500,Single Family,Detached House,3,1,1014,1.025953,North
133,04-04-2009,2009,Waterbury,101430,329000,Three Family,Triplex,6,6,2019,1.025953,North
134,05-04-2009,2009,Bridgeport,245210,445000,Single Family,Detached House,3,3,980,1.025953,East
135,05-04-2009,2009,Bridgeport,42420,52000,Two Family,Duplex,4,2,1372,1.025953,South
136,05-04-2009,2009,Greenwich,1597610,3150000,Single Family,Detached House,3,1,947,1.025953,West
137,05-04-2009,2009,Waterbury,129010,270000,Single Family,Detached House,3,2,991,1.025953,West
138,05-04-2009,2009,Norwalk,812630,1695000,Single Family,Detached House,3,1,923,1.025953,South
139,05-04-2009,2009,Norwalk,251790,425000,Single Family,Detached House,3,2,950,1.025953,West
140,05-04-2009,2009,Greenwich,4705820,6750000,Single Family,Detached House,3,3,986,1.025953,North
141,09-04-2009,2009,Bridgeport,118440,285000,Single Family,Detached House,3,1,973,1.025953,East
142,09-04-2009,2009,Greenwich,5630730,7000000,Single Family,Detached House,3,2,999,1.025953,North
143,09-04-2009,2009,Bridgeport,176750,257000,Three Family,Triplex,6,4,1804,1.025953,East
144,10-04-2009,2009,Fairfield,343980,410000,Single Family,Detached House,3,1,991,1.025953,West
145,10-04-2009,2009,Norwalk,207760,375000,Single Family,Detached House,3,2,1035,1.025953,South
146,11-04-2009,2009,Greenwich,1120350,1575000,Single Family,Detached House,3,3,945,1.025953,South
147,11-04-2009,2009,Bridgeport,113680,185000,Single Family,Detached House,3,3,972,1.025953,East
148,11-04-2009,2009,Greenwich,634200,860000,Single Family,Detached House,3,3,1083,1.025953,North
149,12-04-2009,2009,Bridgeport,11830,206000,Single Family,Detached House,3,1,913,1.025953,East
150,12-04-2009,2009,Bridgeport,116060,125185,Single Family,Detached House,3,2,1024,1.025953,South
151,13-04-2009,2009,Waterbury,66780,245000,Three Family,Triplex,6,5,1806,1.025953,West
152,13-04-2009,2009,Norwalk,371210,605000,Single Family,Detached House,3,2,992,1.025953,West
153,13-04-2009,2009,Waterbury,60620,164000,?,Detached House,3,1,1098,1.025953,East
154,16-04-2009,2009,Bridgeport,115850,243750,Two Family,Duplex,4,2,1241,1.025953,North
155,17-04-2009,2009,Greenwich,2624790,2899000,Single Family,Detached House,3,3,1044,1.025953,East
156,17-04-2009,2009,Greenwich,443940,515000,?,Detached House,3,1,1018,1.025953,South
157,17-04-2009,2009,Fairfield,521150,670000,Single Family,Detached House,3,1,996,1.025953,North
158,18-04-2009,2009,Bridgeport,71680,164000,Single Family,Detached House,3,1,1054,1.025953,South
159,18-04-2009,2009,Waterbury,59710,235000,?,Triplex,6,5,1993,1.025953,East
160,19-04-2009,2009,Greenwich,134330,1500000,Single Family,Detached House,3,1,913,1.025953,South
161,20-04-2009,2009,Bridgeport,184800,130000,Single Family,Detached House,3,3,909,1.025953,North
162,20-04-2009,2009,Waterbury,37170,84900,Single Family,Detached House,3,3,1033,1.025953,East
163,23-04-2009,2009,Greenwich,2179380,2650000,Single Family,Detached House,3,2,1094,1.025953,North
164,23-04-2009,2009,Fairfield,1291710,1750000,?,Detached House,3,3,950,1.025953,North
165,23-04-2009,2009,Greenwich,641690,1200000,Single Family,Detached House,3,3,967,1.025953,East
166,23-04-2009,2009,Fairfield,376880,710000,Single Family,Detached House,3,2,926,1.025953,South
167,24-04-2009,2009,Fairfield,389900,389900,Single Family,Detached House,3,1,1023,1.025953,East
168,24-04-2009,2009,Norwalk,340883,702500,Single Family,Detached House,3,2,945,1.025953,South
169,24-04-2009,2009,Norwalk,248360,455000,Single Family,Detached House,3,1,1023,1.025953,North
170,25-04-2009,2009,Waterbury,62580,159900,Single Family,Detached House,3,3,1041,1.025953,East
171,25-04-2009,2009,Fairfield,433440,805000,Single Family,Detached House,3,3,1032,1.025953,North
172,25-04-2009,2009,Bridgeport,60831,140000,Single Family,Detached House,3,3,1061,1.025953,North
173,25-04-2009,2009,Greenwich,699790,1265000,?,Detached House,3,3,922,1.025953,West
174,27-04-2009,2009,Waterbury,104090,254000,Single Family,Detached House,3,2,1010,1.025953,South
175,27-04-2009,2009,Bridgeport,96390,175000,?,Detached House,3,2,985,1.025953,East
176,27-04-2009,2009,Bridgeport,183330,316000,Single Family,Detached House,3,3,961,1.025953,West
177,30-04-2009,2009,Norwalk,297780,570000,Single Family,Detached House,3,2,976,1.025953,West
178,30-04-2009,2009,Fairfield,1150590,2000000,Single Family,Detached House,3,3,1033,1.025953,West
179,30-04-2009,2009,Greenwich,1313340,3200000,Single Family,Detached House,3,3,1012,1.025953,South
180,30-04-2009,2009,Fairfield,412650,399000,Single Family,Detached House,3,2,1055,1.025953,East
181,30-04-2009,2009,Norwalk,304850,560000,Single Family,Detached House,3,3,1018,1.025953,East
182,30-04-2009,2009,Waterbury,104230,243000,Single Family,Detached House,3,2,1074,1.025953,West
183,01-05-2009,2009,Waterbury,3500,195900,Single Family,Detached House,3,2,988,1.025953,West
184,01-05-2009,2009,Fairfield,489580,715000,Single Family,Detached House,3,2,1072,1.025953,North
185,01-05-2009,2009,Waterbury,57470,143400,?,Detached House,3,3,996,1.025953,North
186,01-05-2009,2009,Fairfield,273700,456100,Single Family,Detached House,3,3,1095,1.025953,North
187,02-05-2009,2009,Norwalk,246330,450000,Single Family,Detached House,3,3,904,1.025953,North
188,02-05-2009,2009,Greenwich,902440,1150000,Three Family,Triplex,6,6,2034,1.025953,North
189,02-05-2009,2009,Norwalk,384440,722500,Single Family,Detached House,3,1,1096,1.025953,South
190,03-05-2009,2009,Fairfield,1064840,1550000,Single Family,Detached House,3,2,1015,1.025953,West
191,03-05-2009,2009,Fairfield,278670,398000,Single Family,Detached House,3,2,1036,1.025953,East
192,04-05-2009,2009,Norwalk,325290,400000,Single Family,Detached House,3,1,1059,1.025953,West
193,04-05-2009,2009,Waterbury,105140,188000,Single Family,Detached House,3,3,1077,1.025953,West
194,04-05-2009,2009,Fairfield,333130,435000,?,Detached House,3,1,1058,1.025953,North
195,04-05-2009,2009,Greenwich,1539440,1650000,Single Family,Detached House,3,2,1020,1.025953,South
196,07-05-2009,2009,Bridgeport,104580,226000,Single Family,Detached House,3,2,1078,1.025953,North
197,07-05-2009,2009,Greenwich,1247680,2650000,Single Family,Detached House,3,1,1093,1.025953,North
198,07-05-2009,2009,Norwalk,186620,412000,?,Detached House,3,1,1038,1.025953,North
199,07-05-2009,2009,Bridgeport,150640,307500,Three Family,Triplex,6,4,2180,1.025953,North
200,08-05-2009,2009,Bridgeport,108711,225000,Single Family,Detached House,3,1,1034,1.025953,North
201,09-05-2009,2009,Bridgeport,68320,137120,Two Family,Duplex,4,4,1343,1.025953,South
202,09-05-2009,2009,Norwalk,217980,439000,Single Family,Detached House,3,1,1026,1.025953,North
203,10-05-2009,2009,Waterbury,63280,145000,?,Detached House,3,3,936,1.025953,East
204,11-05-2009,2009,Waterbury,76160,205000,?,Detached House,3,2,1043,1.025953,West
205,11-05-2009,2009,Fairfield,965510,1262500,Single Family,Detached House,3,1,984,1.025953,East
206,11-05-2009,2009,Bridgeport,69623,280000,?,Detached House,3,3,923,1.025953,West
207,14-05-2009,2009,Bridgeport,131670,190000,Single Family,Detached House,3,3,1099,1.025953,South
208,15-05-2009,2009,Greenwich,640150,407500,Single Family,Detached House,3,1,908,1.025953,North
209,15-05-2009,2009,Waterbury,79590,168000,Single Family,Detached House,3,3,1060,1.025953,North
210,15-05-2009,2009,Norwalk,169610,345500,Two Family,Duplex,4,4,1389,1.025953,North
211,15-05-2009,2009,Bridgeport,196980,478000,Single Family,Detached House,3,2,1100,1.025953,North
212,15-05-2009,2009,Greenwich,4893700,4000000,Single Family,Detached House,3,3,1049,1.025953,North
213,15-05-2009,2009,Norwalk,268730,530000,Single Family,Detached House,3,1,910,1.025953,West
214,16-05-2009,2009,Waterbury,68040,178000,Two Family,Duplex,4,2,1300,1.025953,North
215,16-05-2009,2009,Greenwich,1527540,2300000,Single Family,Detached House,3,1,1021,1.025953,West
216,16-05-2009,2009,Waterbury,69020,125000,?,Triplex,6,5,1827,1.025953,West
217,17-05-2009,2009,Waterbury,84700,174900,Single Family,Detached House,3,3,951,1.025953,West
218,17-05-2009,2009,Greenwich,434560,784000,Three Family,Triplex,6,4,1991,1.025953,North
219,17-05-2009,2009,Bridgeport,150010,315000,Two Family,Duplex,4,3,1469,1.025953,East
220,18-05-2009,2009,Fairfield,617820,575000,Single Family,Detached House,3,2,926,1.025953,West
221,18-05-2009,2009,Norwalk,262010,500000,Single Family,Detached House,3,3,1046,1.025953,West
222,18-05-2009,2009,Waterbury,58450,159000,Single Family,Detached House,3,2,965,1.025953,East
223,18-05-2009,2009,Waterbury,70140,179000,Two Family,Duplex,4,2,1296,1.025953,South
224,18-05-2009,2009,Fairfield,737590,1020000,?,Detached House,3,1,1089,1.025953,West
225,18-05-2009,2009,Waterbury,53480,235000,Three Family,Triplex,6,5,2176,1.025953,East
226,21-05-2009,2009,Waterbury,71190,209000,Three Family,Triplex,6,6,1838,1.025953,South
227,21-05-2009,2009,Greenwich,2037350,2000000,Single Family,Detached House,3,2,956,1.025953,East
228,22-05-2009,2009,Fairfield,212940,290000,Single Family,Detached House,3,1,1032,1.025953,North
229,23-05-2009,2009,Waterbury,142870,329000,Single Family,Detached House,3,2,1020,1.025953,South
230,23-05-2009,2009,Fairfield,445830,630000,?,Detached House,3,3,960,1.025953,South
231,23-05-2009,2009,Greenwich,8272180,18500000,Single Family,Detached House,3,3,935,1.025953,East
232,24-05-2009,2009,Norwalk,286226,679000,Single Family,Detached House,3,1,925,1.025953,North
233,24-05-2009,2009,Fairfield,273980,421000,Single Family,Detached House,3,1,984,1.025953,West
234,24-05-2009,2009,Bridgeport,123130,199000,?,Duplex,4,2,1227,1.025953,West
235,24-05-2009,2009,Greenwich,1605940,1379130,Single Family,Detached House,3,3,982,1.025953,North
236,24-05-2009,2009,Greenwich,528640,895000,Single Family,Detached House,3,3,1082,1.025953,North
237,25-05-2009,2009,Waterbury,104860,191250,Single Family,Detached House,3,3,1086,1.025953,South
238,29-05-2009,2009,Bridgeport,108710,78833,Single Family,Detached House,3,1,1081,1.025953,West
239,29-05-2009,2009,Fairfield,631680,800000,Single Family,Detached House,3,3,1088,1.025953,West
240,29-05-2009,2009,Fairfield,366310,507500,Single Family,Detached House,3,2,963,1.025953,West
241,29-05-2009,2009,Greenwich,1308580,1699000,Single Family,Detached House,3,3,1067,1.025953,West
242,30-05-2009,2009,Norwalk,310800,635000,Single Family,Detached House,3,1,923,1.025953,South
243,31-05-2009,2009,Bridgeport,143430,335000,Single Family,Detached House,3,3,906,1.025953,East
244,01-06-2009,2009,Bridgeport,114170,197500,Single Family,Detached House,3,3,1098,1.025953,West
245,01-06-2009,2009,Waterbury,82250,175000,Single Family,Detached House,3,3,1034,1.025953,South
246,01-06-2009,2009,Greenwich,722050,2175000,Single Family,Detached House,3,3,905,1.025953,North
247,04-06-2009,2009,Greenwich,1455300,2200000,Single Family,Detached House,3,2,1061,1.025953,West
248,04-06-2009,2009,Bridgeport,156730,355000,Two Family,Duplex,4,4,1372,1.025953,East
249,04-06-2009,2009,Waterbury,118930,212000,Single Family,Detached House,3,3,1032,1.025953,North
250,05-06-2009,2009,Bridgeport,146160,345000,?,Duplex,4,4,1226,1.025953,South
251,05-06-2009,2009,Norwalk,251370,422500,Single Family,Detached House,3,3,1076,1.025953,South
252,05-06-2009,2009,Norwalk,547260,825000,?,Detached House,3,1,1090,1.025953,North
253,05-06-2009,2009,Bridgeport,202121,415000,?,Duplex,4,4,1220,1.025953,South
254,06-06-2009,2009,Waterbury,52720,190000,?,Fourplex,8,7,2636,1.025953,South
255,06-06-2009,2009,Norwalk,317520,580000,Single Family,Detached House,3,3,1072,1.025953,North
256,06-06-2009,2009,Bridgeport,139090,288400,Single Family,Detached House,3,3,1022,1.025953,West
257,07-06-2009,2009,Greenwich,1480990,3399000,?,Detached House,3,3,1073,1.025953,North
258,08-06-2009,2009,Fairfield,312060,385000,?,Detached House,3,3,996,1.025953,North
259,08-06-2009,2009,Waterbury,62160,112000,Single Family,Detached House,3,2,1062,1.025953,South
260,11-06-2009,2009,Fairfield,341530,497500,Single Family,Detached House,3,3,1078,1.025953,North
261,11-06-2009,2009,Bridgeport,119490,268000,Single Family,Detached House,3,2,904,1.025953,South
262,11-06-2009,2009,Fairfield,430850,1475000,Single Family,Detached House,3,1,1069,1.025953,West
263,11-06-2009,2009,Greenwich,1559320,2400000,Single Family,Detached House,3,3,942,1.025953,South
264,12-06-2009,2009,Bridgeport,110110,229900,?,Detached House,3,1,928,1.025953,North
265,14-06-2009,2009,Greenwich,1903440,3550000,?,Detached House,3,3,1061,1.025953,East
266,14-06-2009,2009,Norwalk,362040,910000,Single Family,Detached House,3,2,936,1.025953,East
267,14-06-2009,2009,Waterbury,54880,185000,Three Family,Triplex,6,6,2148,1.025953,West
268,15-06-2009,2009,Bridgeport,176890,374500,Single Family,Detached House,3,2,1046,1.025953,South
269,15-06-2009,2009,Waterbury,86170,185000,?,Detached House,3,2,1014,1.025953,North
270,15-06-2009,2009,Norwalk,276570,500000,?,Duplex,4,2,1301,1.025953,South
271,15-06-2009,2009,Greenwich,795900,1471300,Single Family,Detached House,3,1,988,1.025953,South
272,15-06-2009,2009,Norwalk,220080,466598,Single Family,Detached House,3,2,1053,1.025953,West
273,15-06-2009,2009,Bridgeport,153930,331055,Two Family,Duplex,4,4,1303,1.025953,South
274,18-06-2009,2009,Waterbury,81900,234900,Single Family,Detached House,3,2,906,1.025953,West
275,18-06-2009,2009,Norwalk,262220,120000,Two Family,Duplex,4,2,1413,1.025953,South
276,18-06-2009,2009,Bridgeport,95970,242000,Single Family,Detached House,3,1,996,1.025953,East
277,18-06-2009,2009,Fairfield,343000,514000,Single Family,Detached House,3,1,1082,1.025953,East
278,18-06-2009,2009,Fairfield,350770,461000,Single Family,Detached House,3,1,1052,1.025953,South
279,18-06-2009,2009,Waterbury,9100,93333,Single Family,Detached House,3,1,1082,1.025953,North
280,19-06-2009,2009,Bridgeport,72660,197000,Single Family,Detached House,3,2,1051,1.025953,North
281,19-06-2009,2009,Norwalk,417200,625000,Single Family,Detached House,3,1,1006,1.025953,East
282,19-06-2009,2009,Bridgeport,121241,135000,Single Family,Detached House,3,1,974,1.025953,South
283,19-06-2009,2009,Bridgeport,108500,208000,Single Family,Detached House,3,2,936,1.025953,North
284,20-06-2009,2009,Greenwich,1274560,2000000,Single Family,Detached House,3,2,1000,1.025953,South
285,21-06-2009,2009,Fairfield,416080,675000,Single Family,Detached House,3,3,1060,1.025953,East
286,22-06-2009,2009,Bridgeport,117321,40000,Single Family,Detached House,3,2,1074,1.025953,East
287,22-06-2009,2009,Fairfield,382620,565000,?,Detached House,3,2,971,1.025953,East
288,22-06-2009,2009,Waterbury,63010,159000,Single Family,Detached House,3,1,999,1.025953,West
289,25-06-2009,2009,Fairfield,708190,1150000,?,Detached House,3,1,996,1.025953,North
